nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio,precio_litro_final,marca
Leche Lala UHT entera 6 pack 1 l c/u,$170.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-entera-6-pack-1-l-c-u/00750102056596?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,170.0,1.0,L,170.0,Lacteos,False,28.333333333333332,Lala
Leche Santa Clara entera 1.5 l,$54.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-entera-1-5-l/00750105537546?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,54.0,1.5,L,36.0,Lacteos,False,36.0,Santa Clara
Leche Santa Clara entera 1 l,$30.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-entera-1-l/00750129560012?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,30.0,1.0,L,30.0,Lacteos,False,30.0,Santa Clara
Leche Alpura Clásica entera 1.5 l,$44.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-clasica-entera-1-5-l/00750105591025?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,44.0,1.5,L,29.33333333333333,Lacteos,False,29.333333333333332,Alpura
Leche Great Value Entera 1.5 Lts,$40.00,https://despensa.bodegaaurrera.com.mx/ip/leche-great-value-entera-1-5-lts/00750649501847?from=/search,Bodega Aurrera,2026-04-24T22:49:52.859Z,40.0,1.5,L,26.666666666666668,Lacteos,False,26.666666666666668,Great Value
Leche fresca Lala fresca entera 3.78 l,$89.00,https://despensa.bodegaaurrera.com.mx/ip/leche-fresca-lala-fresca-entera-3-78-l/00750102050008?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,89.0,3.78,L,23.544973544973548,Lacteos,False,23.544973544973548,Lala
Leche Lala fresca deslactosada y semidescremada 6 pack 1 l c/u,$173.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-fresca-deslactosada-y-semidescremada-6-pack-1-l-c-u/00750102056599?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,173.0,1.0,L,173.0,Lacteos,False,28.833333333333332,Lala
Leche fresca Lala fresca entera 1.8 l,$49.00,https://despensa.bodegaaurrera.com.mx/ip/leche-fresca-lala-fresca-entera-1-8-l/00750102054704?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,49.0,1.8,L,27.22222222222222,Lacteos,False,27.22222222222222,Lala
Leche Alpura Clásica parcialmente descremada 1 l,$30.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-clasica-parcialmente-descremada-1-l/00750105590003?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,30.0,1.0,L,30.0,Lacteos,False,30.0,Alpura
Leche Lala UHT entera 1.5 l,$45.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-entera-1-5-l/00750102055073?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,45.0,1.5,L,30.0,Lacteos,False,30.0,Lala
Leche Alpura Clásica entera 3.78 l,$93.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-clasica-entera-3-78-l/00750105590105?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,93.0,3.78,L,24.603174603174605,Lacteos,False,24.603174603174605,Alpura
Leche Lala UHT entera 1 l,$30.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-entera-1-l/00750102056593?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,30.0,1.0,L,30.0,Lacteos,False,30.0,Lala
Leche Alpura Selecta Entera 4 Pack 1 Lt c/u,$120.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-selecta-entera-4-pack-1-lt-c-u/00750105591821?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,120.0,1.0,L,120.0,Lacteos,False,30.0,Alpura
Leche Lala UHT semidescremada 6 pack 1 l c/u,$170.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-semidescremada-6-pack-1-l-c-u/00750102056598?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,170.0,1.0,L,170.0,Lacteos,False,28.333333333333332,Lala
Leche Lala UHT light 6 pack 1 l c/u,$170.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-light-6-pack-1-l-c-u/00750102056597?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,170.0,1.0,L,170.0,Lacteos,False,28.333333333333332,Lala
Leche Alpura Selecta entera 1 l,$35.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-selecta-entera-1-l/00750105590503?from=/search,Bodega Aurrera,2026-04-24T22:49:52.860Z,35.0,1.0,L,35.0,Lacteos,False,35.0,Alpura
Leche Lala UHT semidescremada reducida en grasa 1 l,$30.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-semidescremada-reducida-en-grasa-1-l/00750102056595?from=/search,Bodega Aurrera,2026-04-24T22:51:36.405Z,30.0,1.0,L,30.0,Lacteos,False,30.0,Lala
Leche Lala UHT light baja en grasa 1 l,$30.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-light-baja-en-grasa-1-l/00750102056594?from=/search,Bodega Aurrera,2026-04-24T22:51:36.405Z,30.0,1.0,L,30.0,Lacteos,False,30.0,Lala
Leche San Marcos semidescremada 1 l,$34.00,https://despensa.bodegaaurrera.com.mx/ip/leche-san-marcos-semidescremada-1-l/00750115841448?from=/search,Bodega Aurrera,2026-04-24T22:51:36.405Z,34.0,1.0,L,34.0,Lacteos,False,34.0,San Marcos
