nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio
Arroz Verde Valle 750 gr,29.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/,Soriana,2026-04-24T23:48:18.013Z,29.9,0.75,kg,39.86666666666667,Granos,False
Arroz Precocido SOS Super Extra 907 g,34.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.760Z,34.9,0.907,kg,38.47850055126791,Granos,False
Arroz Morelos Insurgente Premium Integ,20.09,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.760Z,20.09,1.0,unidad,20.09,Granos,False
Arroz Diamante Grano Largo 750 Gr,33.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.760Z,33.9,0.75,kg,45.2,Granos,False
Arroz Gardi Super Extra Bol 907gr,40.50,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.760Z,40.5,0.907,kg,44.65270121278942,Granos,False
Arroz Morelos Insurgente Premium Mf 907,36.00,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.761Z,36.0,1.0,unidad,36.0,Granos,False
Arroz Morelos Insurgente Premium 907gr,34.50,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.761Z,34.5,0.907,kg,38.03748621830209,Granos,False
Arroz Maya Grano Súper Extra 750 Gr,31.00,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.761Z,31.0,0.75,kg,41.333333333333336,Granos,False
Arroz Diamante Impegable 750 Gr,43.00,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.761Z,43.0,0.75,kg,57.333333333333336,Granos,False
Arroz Integral 1 Kg,24.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.761Z,24.9,1.0,kg,24.9,Granos,False
Arroz Calidad Bueno Super Extra Premium 900 g,27.50,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.761Z,27.5,0.9,kg,30.555555555555557,Granos,False
Arroz Salvaje Especias Santina,73.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.761Z,73.9,1.0,unidad,73.9,Granos,False
Arroz San José Grano Grueso 750 Gr,47.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.761Z,47.9,0.75,kg,63.86666666666667,Granos,False
Arroz Jazmin Thau Santina,64.90,https://www.soriana.com/despensa/arroz-frijol-y-semillas/arroz/?cgid=arroz&srule=frijoles&start=24&sz=24&pageNumber=2&forceOldView=false&view=grid,Soriana,2026-04-24T23:48:52.761Z,64.9,1.0,unidad,64.9,Granos,False
Arroz Con Leche,44.70..,https://www.lacomer.com.mx/lacomer/?utm_source=google&utm_medium=search&utm_campaign=fresko&utm_term=folleto&utm_content=24abr_10may_2026&gad_source=1&gad_campaignid=11025727661&gbraid=0AAAAADPHgffr5eXtFUzR_tdfpSOSAujaE&gclid=Cj0KCQjwkrzPBhCqARIsAJN460nyGTiKVxHuPv94_DbiCBsI4zAvF4rPuCSOTlD7VMYLwwlz9KnJO8QaAsrVEALw_wcB#!/item-search/137/leche/false?p=4&t=0&succId=137&succFmt=100,La Comer,2026-04-28T00:31:13.826Z,44.7,1.0,unidad,44.7,Lacteos,False
Arroz Super Extra Grano Largo,36.00..,https://www.lacomer.com.mx/lacomer/?utm_source=google&utm_medium=search&utm_campaign=fresko&utm_term=folleto&utm_content=24abr_10may_2026&gad_source=1&gad_campaignid=11025727661&gbraid=0AAAAADPHgffr5eXtFUzR_tdfpSOSAujaE&gclid=Cj0KCQjwkrzPBhCqARIsAJN460nyGTiKVxHuPv94_DbiCBsI4zAvF4rPuCSOTlD7VMYLwwlz9KnJO8QaAsrVEALw_wcB#!/item-search/137/arroz/false?p=1&t=0&succId=137&succFmt=100,La Comer,2026-04-28T00:36:11.169Z,36.0,1.0,unidad,36.0,Granos,False
Arroz Salvaje Mas Vaporizado,25.10..,https://www.lacomer.com.mx/lacomer/?utm_source=google&utm_medium=search&utm_campaign=fresko&utm_term=folleto&utm_content=24abr_10may_2026&gad_source=1&gad_campaignid=11025727661&gbraid=0AAAAADPHgffr5eXtFUzR_tdfpSOSAujaE&gclid=Cj0KCQjwkrzPBhCqARIsAJN460nyGTiKVxHuPv94_DbiCBsI4zAvF4rPuCSOTlD7VMYLwwlz9KnJO8QaAsrVEALw_wcB#!/item-search/137/arroz/false?p=1&t=0&succId=137&succFmt=100,La Comer,2026-04-28T00:36:11.169Z,25.1,1.0,unidad,25.1,Granos,False
Arroz Blanco Con Elote,28.50..,https://www.lacomer.com.mx/lacomer/?utm_source=google&utm_medium=search&utm_campaign=fresko&utm_term=folleto&utm_content=24abr_10may_2026&gad_source=1&gad_campaignid=11025727661&gbraid=0AAAAADPHgffr5eXtFUzR_tdfpSOSAujaE&gclid=Cj0KCQjwkrzPBhCqARIsAJN460nyGTiKVxHuPv94_DbiCBsI4zAvF4rPuCSOTlD7VMYLwwlz9KnJO8QaAsrVEALw_wcB#!/item-search/137/arroz/false?p=1&t=0&succId=137&succFmt=100,La Comer,2026-04-28T00:36:11.169Z,28.5,1.0,unidad,28.5,Granos,False
Arroz Con Leche,12.00..,https://www.lacomer.com.mx/lacomer/?utm_source=google&utm_medium=search&utm_campaign=fresko&utm_term=folleto&utm_content=24abr_10may_2026&gad_source=1&gad_campaignid=11025727661&gbraid=0AAAAADPHgffr5eXtFUzR_tdfpSOSAujaE&gclid=Cj0KCQjwkrzPBhCqARIsAJN460nyGTiKVxHuPv94_DbiCBsI4zAvF4rPuCSOTlD7VMYLwwlz9KnJO8QaAsrVEALw_wcB#!/item-search/137/arroz/false?p=1&t=0&succId=137&succFmt=100,La Comer,2026-04-28T00:36:11.169Z,12.0,1.0,unidad,12.0,Lacteos,False
